Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/IG_generated.json	1314	-	0	0	0	0	0	0	46	192	0	0	0	0	0	0	0	1	0	0	54	174	430	0	0	0	8	0	9
input/resources/ext-AdministrationAgreement.AdditionalInformation.xml	2551	62	0	29	1	0	2	0	1	80	0	0	1	0	0	0	0	0	0	0	4	73	2198	0	1	0	16	0	0
input/resources/ext-AdministrationAgreement.AdministrationAgreementDateTime.xml	2597	21	0	30	0	0	0	0	1	20	0	0	0	0	0	0	0	1	0	0	1	60	265	0	0	0	3	0	1
input/resources/ext-AdministrationAgreement.ReasonModificationOrDiscontinuation.xml	3324	36	0	24	1	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	3	71	263	0	0	0	4	0	1
input/resources/ext-AsAgreedIndicator.xml	2639	22	0	28	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	2	68	262	0	0	0	5	0	0
input/resources/ext-Communication.Payload.ContentCodeableConcept.xml	2266	16	0	37	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	1	56	234	0	0	0	4	0	1
input/resources/ext-DispenseRequest.AdditionalWishes.xml	2689	17	0	33	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	1	52	281	0	0	0	3	0	1
input/resources/ext-DispenseRequest.DispenseLocation.xml	2984	15	0	35	0	0	0	0	0	34	0	0	0	0	0	0	0	1	0	0	2	71	228	0	2	0	4	0	1
input/resources/ext-DispenseRequest.FinancialIndicationCode.xml	3676	16	0	32	1	0	0	0	1	50	0	0	0	0	0	0	0	0	0	0	3	67	279	0	0	0	5	0	1
input/resources/ext-Dosage-AsNeededFor.xml	2567	14	0	30	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	2	64	284	0	0	0	5	0	1
input/resources/ext-InstructionsForUse.RepeatPeriodCyclicalSchedule.xml	4051	20	0	30	1	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	3	61	331	1	0	0	4	0	1
input/resources/ext-MedicationAdministration2.AgreedDateTime.xml	2799	21	0	27	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	2	57	321	0	0	0	4	1	0
input/resources/ext-MedicationAdministration2.InjectionPatchSite.xml	3275	18	0	30	1	0	1	0	0	23	0	0	1	0	0	0	0	0	0	0	2	74	348	0	2	0	26	0	2
input/resources/ext-MedicationAdministration2.ReasonForDeviation.xml	2798	16	0	11	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	3	56	232	0	0	0	4	0	0
input/resources/ext-MedicationAgreement.MedicationAgreementAdditionalInformation.xml	3293	18	0	9	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	1	60	249	0	0	0	4	0	1
input/resources/ext-MedicationAgreement.NextPractitioner.xml	2844	21	0	19	0	0	0	1	0	17	0	0	0	0	0	0	0	1	0	0	1	53	316	0	2	0	9	0	1
input/resources/ext-MedicationAgreement.RelationMedicationUse.xml	2673	26	0	11	1	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	2	50	255	0	0	0	3	0	0
input/resources/ext-MedicationDispense.DistributionForm.xml	2629	22	0	10	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	2	57	233	0	0	0	2	1	1
input/resources/ext-MedicationDispense.MedicationDispenseAdditionalInformation.xml	3072	27	0	8	1	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	1	71	238	0	0	0	4	0	1
input/resources/ext-MedicationDispense.RequestDate.xml	2477	26	0	9	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	1	82	233	0	0	0	3	0	1
input/resources/ext-MedicationOverview.SourceOrganization.xml	2773	22	0	7	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	2	70	230	0	0	0	2	0	0
input/resources/ext-MedicationOverview.Verification.xml	5863	32	0	35	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	2	195	442	0	0	0	11	0	3
input/resources/ext-MedicationUse2.Author.xml	2828	18	0	19	1	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	2	93	259	0	3	0	4	0	1
input/resources/ext-MedicationUse2.Prescriber.xml	2710	12	0	16	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	1	95	237	0	2	0	5	0	1
input/resources/ext-PeriodOfUse.Condition.xml	2864	15	0	19	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	3	81	184	0	0	0	2	0	1
input/resources/ext-PharmaceuticalTreatment.Identifier.xml	3133	23	0	20	1	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	1	83	341	0	0	0	4	0	2
input/resources/ext-RegistrationDateTime.xml	3794	26	0	15	0	0	0	0	0	15	0	0	1	0	0	0	0	0	0	0	2	57	244	0	0	0	3	0	1
input/resources/ext-RelationAdministrationAgreement.xml	2838	19	0	16	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	56	256	0	0	0	3	0	0
input/resources/ext-RenderedDosageInstruction.xml	3039	17	0	15	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	67	191	0	0	0	7	0	1
input/resources/ext-ResourceCategory.xml	2745	13	0	15	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	1	57	179	0	0	0	2	0	1
input/resources/ext-StopType.xml	4011	12	0	17	1	0	0	0	1	15	0	0	0	0	0	0	0	1	0	0	3	62	193	0	0	0	2	0	1
input/resources/mp-AdministrationAgreement.xml	29275	38	0	693	0	0	0	0	1	161	0	0	1	0	0	0	0	2	0	0	5	601	1432	0	5	0	28	1	13
input/resources/mp-DispenseRequest.xml	23107	31	0	282	1	0	0	0	2	114	0	0	1	0	0	0	0	1	0	0	3	424	905	0	8	0	26	0	6
input/resources/mp-InstructionsForUse.DosageInstructions.xml	44071	72	0	64	1	0	0	1	0	141	0	0	0	0	0	0	0	2	0	0	8	439	881	0	3	0	21	0	6
input/resources/mp-MedicationAdministration2.xml	28521	35	0	219	1	0	0	0	2	105	0	0	1	0	0	0	0	2	0	0	4	501	1320	0	9	0	29	0	7
